T,R,Ch2so4,a-pinene,3-carene,b-pinene,time,limonene,alpha-terpinene,gamma-terpinene,terpinolene,p-cymene,alpha-terpinene-output,gamma-terpinene-output,terpinolene-output,p-cymene-output
74.09797179,0.272543949,4.215780549,0.60486859,0.203651776,0.138112024,0,0.2784,0,0,0,0.0096,0,0,0,0.009231586
74.09797179,0.272543949,4.215780549,0.60486859,0.203651776,0.138112024,12,0.2752,0.0128,0,0,0.0112,0.012308781,0,0,0.010770184
74.09797179,0.272543949,4.215780549,0.60486859,0.203651776,0.138112024,65,0.3168,0.0928,0.0768,0.2528,0.024,0.089238663,0.073852687,0.243098428,0.023078965
74.09797179,0.272543949,4.215780549,0.60486859,0.203651776,0.138112024,117,0.3488,0.2048,0.1952,0.4224,0.0368,0.196940499,0.187708913,0.406189778,0.035387746
74.09797179,0.272543949,4.215780549,0.60486859,0.203651776,0.138112024,154,0.3648,0.3104,0.2944,0.5504,0.0496,0.298487943,0.283101967,0.52927759,0.047696527
74.09797179,0.272543949,4.215780549,0.60486859,0.203651776,0.138112024,198,0.3776,0.4288,0.4064,0.6752,0.064,0.412344169,0.390803802,0.649288206,0.061543906
74.09797179,0.272543949,4.215780549,0.60486859,0.203651776,0.138112024,245,0.3872,0.5504,0.5088,0.7808,0.08,0.52927759,0.489274051,0.750835651,0.076929882
101.4342315,0.326685082,4.041068423,0.511612273,0.084297607,0.344616844,0,0.2624,0,0,0,0.008,0,0,0,0.007692988
101.4342315,0.326685082,4.041068423,0.511612273,0.084297607,0.344616844,30,0.3136,0.1408,0.0768,0.2592,0.0192,0.135396593,0.073852687,0.249252819,0.018463172
101.4342315,0.326685082,4.041068423,0.511612273,0.084297607,0.344616844,66,0.3936,0.4448,0.2336,0.5984,0.024,0.427730145,0.224635256,0.575435519,0.023078965
101.4342315,0.326685082,4.041068423,0.511612273,0.084297607,0.344616844,102,0.432,0.7008,0.4,0.8576,0.0368,0.673905769,0.384649411,0.824688338,0.035387746
101.4342315,0.326685082,4.041068423,0.511612273,0.084297607,0.344616844,166,0.416,1.28,0.7424,1.2544,0.0624,1.230878116,0.713909307,1.206260554,0.060005308
101.4342315,0.326685082,4.041068423,0.511612273,0.084297607,0.344616844,197,0.352,1.5008,0.8384,1.3312,0.0768,1.443204591,0.806225166,1.280113241,0.073852687
101.4342315,0.326685082,4.041068423,0.511612273,0.084297607,0.344616844,251,0.2176,1.7888,0.9184,1.3344,0.1024,1.720152167,0.883155048,1.283190436,0.098470249
83.0706167,0.24173084,6.084521161,0.53895804,0.113348966,0.290241133,0,0.2592,0.0096,0,0,0.0112,0.009231586,0,0,0.010770184
83.0706167,0.24173084,6.084521161,0.53895804,0.113348966,0.290241133,16,0.4512,0.7904,0.4576,0.8448,0.0304,0.760067237,0.440038927,0.812379557,0.029233355
83.0706167,0.24173084,6.084521161,0.53895804,0.113348966,0.290241133,48,0.3616,1.6288,0.9504,1.4528,0.0464,1.566292403,0.913927001,1.397046662,0.044619332
83.0706167,0.24173084,6.084521161,0.53895804,0.113348966,0.290241133,134,0.1344,2.2912,1.1744,1.5488,0.0736,2.203271828,1.129330672,1.489362521,0.070775492
83.0706167,0.24173084,6.084521161,0.53895804,0.113348966,0.290241133,170,0.0864,2.3712,1.152,1.5552,0.0912,2.28020171,1.107790305,1.495516911,0.087700066
83.0706167,0.24173084,6.084521161,0.53895804,0.113348966,0.290241133,213,0.0544,2.4288,1.1104,1.5744,0.1088,2.335591225,1.067786766,1.513980083,0.10462464
83.0706167,0.24173084,6.084521161,0.53895804,0.113348966,0.290241133,254,0.032,2.4608,1.0464,1.5616,0.128,2.366363178,1.00624286,1.501671302,0.123087812
89.13713474,0.209666064,6.711992881,0.750606296,0.060004124,0.13,0,0.2656,0.0416,0.016,0.0768,0.0128,0.040003539,0.015385976,0.073852687,0.012308781
89.13713474,0.209666064,6.711992881,0.750606296,0.060004124,0.13,24,0.2624,2.0608,0.9632,1.7536,0.0416,1.981713767,0.926235782,1.686303019,0.040003539
89.13713474,0.209666064,6.711992881,0.750606296,0.060004124,0.13,61,0.0736,2.4192,0.9984,1.6832,0.0608,2.32635964,0.960084931,1.618604723,0.058466711
89.13713474,0.209666064,6.711992881,0.750606296,0.060004124,0.13,121,0.0192,2.3904,0.9184,1.6,0.0896,2.298664882,0.883155048,1.538597645,0.086161468
89.13713474,0.209666064,6.711992881,0.750606296,0.060004124,0.13,174,0.0192,2.2304,0.8128,1.472,0.1152,2.144805117,0.781607604,1.415509834,0.11077903
