T,Q_liq,Q_gas,a-terpinene,g-terpinene,terpinolene,radical_initiator,time,Y2
100,0.5,40,1.463,0.623,0.934,0.726,0,0
100,0.5,40,1.463,0.623,0.934,0.726,60,13.53175505
100,0.5,40,1.463,0.623,0.934,0.726,150,20.05599409
100,0.5,40,1.463,0.623,0.934,0.726,180,29.18992874
100,0.5,40,1.463,0.623,0.934,0.726,240,32.6211952
113,0.86,15.6,1.326,0.856,1.209,0.397,0,0
113,0.86,15.6,1.326,0.856,1.209,0.397,14,0.690870023
113,0.86,15.6,1.326,0.856,1.209,0.397,54,4.85055864
113,0.86,15.6,1.326,0.856,1.209,0.397,100,11.68691645
113,0.86,15.6,1.326,0.856,1.209,0.397,133,15.62957784
113,0.86,15.6,1.326,0.856,1.209,0.397,156,17.25728208
113,0.86,15.6,1.326,0.856,1.209,0.397,180,19.35521199
113,0.86,15.6,1.326,0.856,1.209,0.397,231,20.87440262
122,4.44,33.2,1.525,0.249,0.328,1.483,0,0
122,4.44,33.2,1.525,0.249,0.328,1.483,25,7.860934112
122,4.44,33.2,1.525,0.249,0.328,1.483,52,15.35048551
122,4.44,33.2,1.525,0.249,0.328,1.483,83,21.04502046
122,4.44,33.2,1.525,0.249,0.328,1.483,106,27.54421795
122,4.44,33.2,1.525,0.249,0.328,1.483,140,27.60611507
122,4.44,33.2,1.525,0.249,0.328,1.483,187,28.72026321
122,4.44,33.2,1.525,0.249,0.328,1.483,224,30.88666238
145,0.215,12.2,1.117,1.08,1.526,1.155,0,0
145,0.215,12.2,1.117,1.08,1.526,1.155,60,0.46209591
145,0.215,12.2,1.117,1.08,1.526,1.155,180,3.38870334
145,0.215,12.2,1.117,1.08,1.526,1.155,240,5.891722852
86,1.453,110,0.872,1.631,1.775,1.345,0,0
86,1.453,110,0.872,1.631,1.775,1.345,7,0.133590503
86,1.453,110,0.872,1.631,1.775,1.345,50,1.606425796
86,1.453,110,0.872,1.631,1.775,1.345,84,6.936686858
86,1.453,110,0.872,1.631,1.775,1.345,127,8.973942025
86,1.453,110,0.872,1.631,1.775,1.345,159,20.56291814
86,1.453,110,0.872,1.631,1.775,1.345,201,24.6708261
84,0.744,25.9,0.404,1.361,1.884,1.774,0,0
84,0.744,25.9,0.404,1.361,1.884,1.774,1.5,1.493417778
84,0.744,25.9,0.404,1.361,1.884,1.774,66,2.829633684
84,0.744,25.9,0.404,1.361,1.884,1.774,84,4.440952865
84,0.744,25.9,0.404,1.361,1.884,1.774,130,10.76832819
84,0.744,25.9,0.404,1.361,1.884,1.774,154,13.08705579
84,0.744,25.9,0.404,1.361,1.884,1.774,182,15.24858152
84,0.744,25.9,0.404,1.361,1.884,1.774,230,15.52368479
126,3.739,85.5,1.972,0.413,0.121,0.703,0,0
126,3.739,85.5,1.972,0.413,0.121,0.703,6,6.087116397
126,3.739,85.5,1.972,0.413,0.121,0.703,44,20.29852668
126,3.739,85.5,1.972,0.413,0.121,0.703,76,26.12082253
126,3.739,85.5,1.972,0.413,0.121,0.703,109,28.68764113
126,3.739,85.5,1.972,0.413,0.121,0.703,150,31.81790771
126,3.739,85.5,1.972,0.413,0.121,0.703,176,33.75867299
126,3.739,85.5,1.972,0.413,0.121,0.703,211,39.08012618
111,4,53.5,0.596,0.939,0.511,0.046,0,0
111,4,53.5,0.596,0.939,0.511,0.046,6,2.25996921
111,4,53.5,0.596,0.939,0.511,0.046,60,17.02182097
111,4,53.5,0.596,0.939,0.511,0.046,80,21.16919837
111,4,53.5,0.596,0.939,0.511,0.046,103,25.8086375
111,4,53.5,0.596,0.939,0.511,0.046,157,24.68392498
111,4,53.5,0.596,0.939,0.511,0.046,186,34.52515949
111,4,53.5,0.596,0.939,0.511,0.046,218,35.22810481
141,2.923,97.5,0.172,0.116,0.837,1.015,0,0
141,2.923,97.5,0.172,0.116,0.837,1.015,7,5.208423307
141,2.923,97.5,0.172,0.116,0.837,1.015,47,11.88417735
141,2.923,97.5,0.172,0.116,0.837,1.015,90,15.48908454
141,2.923,97.5,0.172,0.116,0.837,1.015,131,14.42096389
141,2.923,97.5,0.172,0.116,0.837,1.015,159,16.82423535
141,2.923,97.5,0.172,0.116,0.837,1.015,182,15.0885393
141,2.923,97.5,0.172,0.116,0.837,1.015,219,16.95775043
130,2.6,79.2,1.686,0.721,0.946,1.664,0,0
130,2.6,79.2,1.686,0.721,0.946,1.664,16,7.732937875
130,2.6,79.2,1.686,0.721,0.946,1.664,45,18.01319646
130,2.6,79.2,1.686,0.721,0.946,1.664,73,21.24283522
130,2.6,79.2,1.686,0.721,0.946,1.664,114,22.65295919
130,2.6,79.2,1.686,0.721,0.946,1.664,145,18.33161155
130,2.6,79.2,1.686,0.721,0.946,1.664,192,24.60893759
130,2.6,79.2,1.686,0.721,0.946,1.664,234,25.38223138
91,1.971,112,1.717,0.548,1.38,0.472,0,0
91,1.971,112,1.717,0.548,1.38,0.472,14,1.825173107
91,1.971,112,1.717,0.548,1.38,0.472,56,7.913253382
91,1.971,112,1.717,0.548,1.38,0.472,81,11.16578942
91,1.971,112,1.717,0.548,1.38,0.472,123,15.75269922
91,1.971,112,1.717,0.548,1.38,0.472,165,17.50406477
91,1.971,112,1.717,0.548,1.38,0.472,193,19.29712951
91,1.971,112,1.717,0.548,1.38,0.472,225,19.75582049
105,2.082,60.2,0.048,1.783,0.683,1.868,0,0
105,2.082,60.2,0.048,1.783,0.683,1.868,11,1.307902301
105,2.082,60.2,0.048,1.783,0.683,1.868,42,7.847413807
105,2.082,60.2,0.048,1.783,0.683,1.868,80,17.37641629
105,2.082,60.2,0.048,1.783,0.683,1.868,107,22.54574443
105,2.082,60.2,0.048,1.783,0.683,1.868,152,30.4554393
105,2.082,60.2,0.048,1.783,0.683,1.868,190,32.75983859
105,2.082,60.2,0.048,1.783,0.683,1.868,224,41.60374939
98,3.294,41.6,0.656,1.891,1.554,0.218,0,0
98,3.294,41.6,0.656,1.891,1.554,0.218,4,0.571101349
98,3.294,41.6,0.656,1.891,1.554,0.218,47,10.4701914
98,3.294,41.6,0.656,1.891,1.554,0.218,83,11.6123941
98,3.294,41.6,0.656,1.891,1.554,0.218,106,13.51606527
98,3.294,41.6,0.656,1.891,1.554,0.218,165,12.37386257
145,4.572,81,1.309,1.251,0.124,1.518,0,0
145,4.572,81,1.309,1.251,0.124,1.518,110,36.76188199
145,4.572,81,1.309,1.251,0.124,1.518,132,37.18099139
145,4.572,81,1.309,1.251,0.124,1.518,177,38.85742901
145,4.572,81,1.309,1.251,0.124,1.518,200,39.21666564
133,4.288,80,0.498,1.579,0.107,0.29,0,0
133,4.288,80,0.498,1.579,0.107,0.29,145,40.13306442
133,4.288,80,0.498,1.579,0.107,0.29,150,40.27290089
133,4.288,80,0.498,1.579,0.107,0.29,193,41.11191965
133,4.288,80,0.498,1.579,0.107,0.29,204,40.34281912
133,4.288,80,0.498,1.579,0.107,0.29,240,43.34930304
130,4.482,43.1,1.545,1.991,0.508,1.377,0,0
130,4.482,43.1,1.545,1.991,0.508,1.377,110,31.37686639
130,4.482,43.1,1.545,1.991,0.508,1.377,179,33.83020162
130,4.482,43.1,1.545,1.991,0.508,1.377,188,34.691021
130,4.482,43.1,1.545,1.991,0.508,1.377,240,35.55184038
127,3.988,90.6,1.431,1.574,0.435,1.641,0,0
127,3.988,90.6,1.431,1.574,0.435,1.641,152,40.48643058
127,3.988,90.6,1.431,1.574,0.435,1.641,182,40.33307289
127,3.988,90.6,1.431,1.574,0.435,1.641,228,41.96888827
127,3.988,90.6,1.431,1.574,0.435,1.641,240,40.33307289
131,3.554,106,1.299,1.782,0.489,0.726,0,0
131,3.554,106,1.299,1.782,0.489,0.726,140,37.28773406
131,3.554,106,1.299,1.782,0.489,0.726,188,38.22362171
131,3.554,106,1.299,1.782,0.489,0.726,240,39.25802384
136,4.698,75.6,0.95,1.488,0.2,0.884,0,0
136,4.698,75.6,0.95,1.488,0.2,0.884,0.5,1.562095611
136,4.698,75.6,0.95,1.488,0.2,0.884,46,35.035573
136,4.698,75.6,0.95,1.488,0.2,0.884,86,40.61448589
136,4.698,75.6,0.95,1.488,0.2,0.884,113,44.85445969
136,4.698,75.6,0.95,1.488,0.2,0.884,140,51.66073343
136,4.698,75.6,0.95,1.488,0.2,0.884,210,51.10284214
136,4.698,75.6,0.95,1.488,0.2,0.884,231,51.10284214
139,4.236,76.7,1.562,1.093,0.735,1.486,0,0
139,4.236,76.7,1.562,1.093,0.735,1.486,145,28.90125949
139,4.236,76.7,1.562,1.093,0.735,1.486,230,29.89102865
139,4.236,76.7,1.562,1.093,0.735,1.486,233,29.79205173
137,4.033,79.5,1.639,1.278,0.532,0.879,0,0
137,4.033,79.5,1.639,1.278,0.532,0.879,143,30.42451389
137,4.033,79.5,1.639,1.278,0.532,0.879,190,32.60493738
137,4.033,79.5,1.639,1.278,0.532,0.879,198,32.75705995
137,4.033,79.5,1.639,1.278,0.532,0.879,240,32.09786215
124.5,3.149,80.2,0.715,1.027,0.397,0.646,0,0
124.5,3.149,80.2,0.715,1.027,0.397,0.646,99,30.63815635
124.5,3.149,80.2,0.715,1.027,0.397,0.646,190,34.77844775
124.5,3.149,80.2,0.715,1.027,0.397,0.646,240,36.93139927
115,4.453,112,1.302,1.282,0.4,1.455,0,0
115,4.453,112,1.302,1.282,0.4,1.455,145,31.60028063
115,4.453,112,1.302,1.282,0.4,1.455,155,37.90843458
115,4.453,112,1.302,1.282,0.4,1.455,198,37.43234749
115,4.453,112,1.302,1.282,0.4,1.455,240,39.45571762
136.6,4.982,81.9,1.679,1.525,0.328,0.831,0,0
136.6,4.982,81.9,1.679,1.525,0.328,0.831,137,32.65186295
136.6,4.982,81.9,1.679,1.525,0.328,0.831,170,33.83529127
136.6,4.982,81.9,1.679,1.525,0.328,0.831,209,36.52490106
136.6,4.982,81.9,1.679,1.525,0.328,0.831,240,36.95523863
104,2.516,104.9,1.483,1.41,0.296,1.411,0,0
104,2.516,104.9,1.483,1.41,0.296,1.411,168,33.16152413
104,2.516,104.9,1.483,1.41,0.296,1.411,170,33.44938459
